CARD SET,CARD NUMBER,ATHLETE,TEAM,SEQUENCE
Base,73,Rhyne Howard,Atlanta Dream,
Base,74,Ariel Atkins,Chicago Sky,
Base,75,Gabby Williams,Seattle Storm,
Base,76,Rebecca Allen,Chicago Sky,
Base,77,Jonquel Jones,New York Liberty,
Base,78,Celeste Taylor,Phoenix Mercury,
Base,79,Marine Johannes,New York Liberty,
Base,80,Erica Wheeler,Seattle Storm,
Base,81,Nika Muhl,Seattle Storm,
Base,82,A'ja Wilson,Las Vegas Aces,
Base,83,Sabrina Ionescu,New York Liberty,
Base,84,Kalani Brown,Phoenix Mercury,
Base,85,Lexie Hull,Indiana Fever,
Base Artist Proof,1,Aliyah Boston,Indiana Fever,25
Base Artist Proof,2,Cameron Brink,Los Angeles Sparks,25
Base Artist Proof,3,Sami Whitcomb,Phoenix Mercury,25
Base Artist Proof,4,Bridget Carleton,Minnesota Lynx,25
Base Artist Proof,5,Haley Jones,Atlanta Dream,25
Base Artist Proof,6,Kia Nurse,Chicago Sky,25
Base Artist Proof,7,Leonie Fiebich,New York Liberty,25
Base Artist Proof,8,Natasha Cloud,New York Liberty,25
Base Artist Proof,9,Sydney Colson,Indiana Fever,25
Base Artist Proof,10,Alyssa Thomas,Phoenix Mercury,25
Base Artist Proof,11,Nneka Ogwumike,Seattle Storm,25
Base Artist Proof,12,Kelsey Plum,Los Angeles Sparks,25
Base Artist Proof,13,Marina Mabrey,Connecticut Sun,25
Base Artist Proof,14,Diana Taurasi,Phoenix Mercury,25
Base Artist Proof,15,Jordan Horston,Seattle Storm,25
Base Artist Proof,16,Aaliyah Edwards,Washington Mystics,25
Base Artist Proof,17,Diamond Miller,Minnesota Lynx,25
Base Artist Proof,18,Jordin Canada,Atlanta Dream,25
Base Artist Proof,19,Kelsey Mitchell,Indiana Fever,25
Base Artist Proof,20,Maddy Siegrist,Dallas Wings,25
Base Artist Proof,21,Veronica Burton,Golden State Valkyries,25
Base Artist Proof,22,Shakira Austin,Washington Mystics,25
Base Artist Proof,23,Jewell Loyd,Las Vegas Aces,25
Base Artist Proof,24,Sophie Cunningham,Indiana Fever,25
Base Artist Proof,25,Napheesa Collier,Minnesota Lynx,25
Base Artist Proof,26,Skylar Diggins,Seattle Storm,25
Base Artist Proof,27,DiJonai Carrington,Dallas Wings,25
Base Artist Proof,28,Kayla McBride,Minnesota Lynx,25
Base Artist Proof,29,Julie Vanloo,Golden State Valkyries,25
Base Artist Proof,30,Stefanie Dolson,Washington Mystics,25
Base Artist Proof,31,Alissa Pili,Minnesota Lynx,25
Base Artist Proof,32,Kamilla Cardoso,Chicago Sky,25
Base Artist Proof,33,Jacy Sheldon,Connecticut Sun,25
Base Artist Proof,34,Courtney Vandersloot,Chicago Sky,25
Base Artist Proof,35,Dorka Juhasz,Minnesota Lynx,25
Base Artist Proof,36,Megan Gustafson,Las Vegas Aces,25
Base Artist Proof,37,Dana Evans,Las Vegas Aces,25
Base Artist Proof,38,Chelsea Gray,Las Vegas Aces,25
Base Artist Proof,39,Arike Ogunbowale,Dallas Wings,25
Base Artist Proof,40,Kayla Thornton,Golden State Valkyries,25
Base Artist Proof,41,Brittney Sykes,Washington Mystics,25
Base Artist Proof,42,Aerial Powers,Atlanta Dream,25
Base Artist Proof,43,Dearica Hamby,Los Angeles Sparks,25
Base Artist Proof,44,DeWanna Bonner,Indiana Fever,25
Base Artist Proof,45,Ezi Magbegor,Seattle Storm,25
Base Artist Proof,46,Monique Billings,Golden State Valkyries,25
Base Artist Proof,47,Caitlin Clark,Indiana Fever,25
Base Artist Proof,48,NaLyssa Smith,Dallas Wings,25
Base Artist Proof,49,Rickea Jackson,Los Angeles Sparks,25
Base Artist Proof,50,Karlie Samuelson,Minnesota Lynx,25
Base Artist Proof,51,Kahleah Copper,Phoenix Mercury,25
Base Artist Proof,52,Tina Charles,Connecticut Sun,25
Base Artist Proof,53,Katie Lou Samuelson,Seattle Storm,25
Base Artist Proof,54,Kate Martin,Golden State Valkyries,25
Base Artist Proof,55,Satou Sabally,Phoenix Mercury,25
Base Artist Proof,56,Allisha Gray,Atlanta Dream,25
Base Artist Proof,57,Teaira McCowan,Dallas Wings,25
Base Artist Proof,58,Temi Fagbenle,Golden State Valkyries,25
Base Artist Proof,59,Betnijah Laney-Hamilton,New York Liberty,25
Base Artist Proof,60,Jackie Young,Las Vegas Aces,25
Base Artist Proof,61,Alysha Clark,Seattle Storm,25
Base Artist Proof,62,Brittney Griner,Atlanta Dream,25
Base Artist Proof,63,Breanna Stewart,New York Liberty,25
Base Artist Proof,64,Brionna Jones,Atlanta Dream,25
Base Artist Proof,65,Myisha Hines-Allen,Dallas Wings,25
Base Artist Proof,66,Elizabeth Kitley,Las Vegas Aces,25
Base Artist Proof,67,Nyara Sabally,New York Liberty,25
Base Artist Proof,68,Alanna Smith,Minnesota Lynx,25
Base Artist Proof,69,Zia Cooke,Seattle Storm,25
Base Artist Proof,70,Courtney Williams,Minnesota Lynx,25
Base Artist Proof,71,Angel Reese,Chicago Sky,25
Base Artist Proof,72,Natisha Hiedeman,Minnesota Lynx,25
Base Artist Proof,73,Rhyne Howard,Atlanta Dream,25
Base Artist Proof,74,Ariel Atkins,Chicago Sky,25
Base Artist Proof,75,Gabby Williams,Seattle Storm,25
Base Artist Proof,76,Rebecca Allen,Chicago Sky,25
Base Artist Proof,77,Jonquel Jones,New York Liberty,25
Base Artist Proof,78,Celeste Taylor,Phoenix Mercury,25
Base Artist Proof,79,Marine Johannes,New York Liberty,25
Base Artist Proof,80,Erica Wheeler,Seattle Storm,25
Base Artist Proof,81,Nika Muhl,Seattle Storm,25
Base Artist Proof,82,A'ja Wilson,Las Vegas Aces,25
Base Artist Proof,83,Sabrina Ionescu,New York Liberty,25
Base Artist Proof,84,Kalani Brown,Phoenix Mercury,25
Base Artist Proof,85,Lexie Hull,Indiana Fever,25
Base Black Gold Laser,1,Aliyah Boston,Indiana Fever,5
Base Black Gold Laser,2,Cameron Brink,Los Angeles Sparks,5
Base Black Gold Laser,3,Sami Whitcomb,Phoenix Mercury,5
Base Black Gold Laser,4,Bridget Carleton,Minnesota Lynx,5
Base Black Gold Laser,5,Haley Jones,Atlanta Dream,5
Base Black Gold Laser,6,Kia Nurse,Chicago Sky,5
Base Black Gold Laser,7,Leonie Fiebich,New York Liberty,5
Base Black Gold Laser,8,Natasha Cloud,New York Liberty,5
Base Black Gold Laser,9,Sydney Colson,Indiana Fever,5
Base Black Gold Laser,10,Alyssa Thomas,Phoenix Mercury,5
Base Black Gold Laser,11,Nneka Ogwumike,Seattle Storm,5
Base Black Gold Laser,12,Kelsey Plum,Los Angeles Sparks,5
Base Black Gold Laser,13,Marina Mabrey,Connecticut Sun,5
Base Black Gold Laser,14,Diana Taurasi,Phoenix Mercury,5
Base Black Gold Laser,15,Jordan Horston,Seattle Storm,5
Base Black Gold Laser,16,Aaliyah Edwards,Washington Mystics,5
Base Black Gold Laser,17,Diamond Miller,Minnesota Lynx,5
Base Black Gold Laser,18,Jordin Canada,Atlanta Dream,5
Base Black Gold Laser,19,Kelsey Mitchell,Indiana Fever,5
Base Black Gold Laser,20,Maddy Siegrist,Dallas Wings,5
Base Black Gold Laser,21,Veronica Burton,Golden State Valkyries,5
Base Black Gold Laser,22,Shakira Austin,Washington Mystics,5
Base Black Gold Laser,23,Jewell Loyd,Las Vegas Aces,5
Base Black Gold Laser,24,Sophie Cunningham,Indiana Fever,5
Base Black Gold Laser,25,Napheesa Collier,Minnesota Lynx,5
Base Black Gold Laser,26,Skylar Diggins,Seattle Storm,5
Base Black Gold Laser,27,DiJonai Carrington,Dallas Wings,5
Base Black Gold Laser,28,Kayla McBride,Minnesota Lynx,5
Base Black Gold Laser,29,Julie Vanloo,Golden State Valkyries,5
Base Black Gold Laser,30,Stefanie Dolson,Washington Mystics,5
Base Black Gold Laser,31,Alissa Pili,Minnesota Lynx,5
Base Black Gold Laser,32,Kamilla Cardoso,Chicago Sky,5
Base Black Gold Laser,33,Jacy Sheldon,Connecticut Sun,5
Base Black Gold Laser,34,Courtney Vandersloot,Chicago Sky,5
Base Black Gold Laser,35,Dorka Juhasz,Minnesota Lynx,5
Base Black Gold Laser,36,Megan Gustafson,Las Vegas Aces,5
Base Black Gold Laser,37,Dana Evans,Las Vegas Aces,5
Base Black Gold Laser,38,Chelsea Gray,Las Vegas Aces,5
Base Black Gold Laser,39,Arike Ogunbowale,Dallas Wings,5
Base Black Gold Laser,40,Kayla Thornton,Golden State Valkyries,5
Base Black Gold Laser,41,Brittney Sykes,Washington Mystics,5
Base Black Gold Laser,42,Aerial Powers,Atlanta Dream,5
Base Black Gold Laser,43,Dearica Hamby,Los Angeles Sparks,5
Base Black Gold Laser,44,DeWanna Bonner,Indiana Fever,5
Base Black Gold Laser,45,Ezi Magbegor,Seattle Storm,5
Base Black Gold Laser,46,Monique Billings,Golden State Valkyries,5
Base Black Gold Laser,47,Caitlin Clark,Indiana Fever,5
Base Black Gold Laser,48,NaLyssa Smith,Dallas Wings,5
Base Black Gold Laser,49,Rickea Jackson,Los Angeles Sparks,5
Base Black Gold Laser,50,Karlie Samuelson,Minnesota Lynx,5
Base Black Gold Laser,51,Kahleah Copper,Phoenix Mercury,5
Base Black Gold Laser,52,Tina Charles,Connecticut Sun,5
Base Black Gold Laser,53,Katie Lou Samuelson,Seattle Storm,5
Base Black Gold Laser,54,Kate Martin,Golden State Valkyries,5
Base Black Gold Laser,55,Satou Sabally,Phoenix Mercury,5
Base Black Gold Laser,56,Allisha Gray,Atlanta Dream,5
Base Black Gold Laser,57,Teaira McCowan,Dallas Wings,5
Base Black Gold Laser,58,Temi Fagbenle,Golden State Valkyries,5
Base Black Gold Laser,59,Betnijah Laney-Hamilton,New York Liberty,5
Base Black Gold Laser,60,Jackie Young,Las Vegas Aces,5
Base Black Gold Laser,61,Alysha Clark,Seattle Storm,5
Base Black Gold Laser,62,Brittney Griner,Atlanta Dream,5
Base Black Gold Laser,63,Breanna Stewart,New York Liberty,5
Base Black Gold Laser,64,Brionna Jones,Atlanta Dream,5
Base Black Gold Laser,65,Myisha Hines-Allen,Dallas Wings,5
Base Black Gold Laser,66,Elizabeth Kitley,Las Vegas Aces,5
Base Black Gold Laser,67,Nyara Sabally,New York Liberty,5
Base Black Gold Laser,68,Alanna Smith,Minnesota Lynx,5
Base Black Gold Laser,69,Zia Cooke,Seattle Storm,5
Base Black Gold Laser,70,Courtney Williams,Minnesota Lynx,5
Base Black Gold Laser,71,Angel Reese,Chicago Sky,5
Base Black Gold Laser,72,Natisha Hiedeman,Minnesota Lynx,5
Base Black Gold Laser,73,Rhyne Howard,Atlanta Dream,5
Base Black Gold Laser,74,Ariel Atkins,Chicago Sky,5
Base Black Gold Laser,75,Gabby Williams,Seattle Storm,5
Base Black Gold Laser,76,Rebecca Allen,Chicago Sky,5
Base Black Gold Laser,77,Jonquel Jones,New York Liberty,5
Base Black Gold Laser,78,Celeste Taylor,Phoenix Mercury,5
Base Black Gold Laser,79,Marine Johannes,New York Liberty,5
Base Black Gold Laser,80,Erica Wheeler,Seattle Storm,5
Base Black Gold Laser,81,Nika Muhl,Seattle Storm,5
Base Black Gold Laser,82,A'ja Wilson,Las Vegas Aces,5
Base Black Gold Laser,83,Sabrina Ionescu,New York Liberty,5
Base Black Gold Laser,84,Kalani Brown,Phoenix Mercury,5
Base Black Gold Laser,85,Lexie Hull,Indiana Fever,5
Base Black Holo Press Proof,1,Aliyah Boston,Indiana Fever,1
Base Black Holo Press Proof,2,Cameron Brink,Los Angeles Sparks,1
Base Black Holo Press Proof,3,Sami Whitcomb,Phoenix Mercury,1
Base Black Holo Press Proof,4,Bridget Carleton,Minnesota Lynx,1
Base Black Holo Press Proof,5,Haley Jones,Atlanta Dream,1
Base Black Holo Press Proof,6,Kia Nurse,Chicago Sky,1
Base Black Holo Press Proof,7,Leonie Fiebich,New York Liberty,1
Base Black Holo Press Proof,8,Natasha Cloud,New York Liberty,1
Base Black Holo Press Proof,9,Sydney Colson,Indiana Fever,1
Base Black Holo Press Proof,10,Alyssa Thomas,Phoenix Mercury,1
Base Black Holo Press Proof,11,Nneka Ogwumike,Seattle Storm,1
Base Black Holo Press Proof,12,Kelsey Plum,Los Angeles Sparks,1
Base Black Holo Press Proof,13,Marina Mabrey,Connecticut Sun,1
Base Black Holo Press Proof,14,Diana Taurasi,Phoenix Mercury,1
Base Black Holo Press Proof,15,Jordan Horston,Seattle Storm,1
Base Black Holo Press Proof,16,Aaliyah Edwards,Washington Mystics,1
Base Black Holo Press Proof,17,Diamond Miller,Minnesota Lynx,1
Base Black Holo Press Proof,18,Jordin Canada,Atlanta Dream,1
Base Black Holo Press Proof,19,Kelsey Mitchell,Indiana Fever,1
Base Black Holo Press Proof,20,Maddy Siegrist,Dallas Wings,1
Base Black Holo Press Proof,21,Veronica Burton,Golden State Valkyries,1
Base Black Holo Press Proof,22,Shakira Austin,Washington Mystics,1
Base Black Holo Press Proof,23,Jewell Loyd,Las Vegas Aces,1
Base Black Holo Press Proof,24,Sophie Cunningham,Indiana Fever,1
Base Black Holo Press Proof,25,Napheesa Collier,Minnesota Lynx,1
Base Black Holo Press Proof,26,Skylar Diggins,Seattle Storm,1
Base Black Holo Press Proof,27,DiJonai Carrington,Dallas Wings,1
Base Black Holo Press Proof,28,Kayla McBride,Minnesota Lynx,1
Base Black Holo Press Proof,29,Julie Vanloo,Golden State Valkyries,1
Base Black Holo Press Proof,30,Stefanie Dolson,Washington Mystics,1
Base Black Holo Press Proof,31,Alissa Pili,Minnesota Lynx,1
Base Black Holo Press Proof,32,Kamilla Cardoso,Chicago Sky,1
Base Black Holo Press Proof,33,Jacy Sheldon,Connecticut Sun,1
Base Black Holo Press Proof,34,Courtney Vandersloot,Chicago Sky,1
Base Black Holo Press Proof,35,Dorka Juhasz,Minnesota Lynx,1
Base Black Holo Press Proof,36,Megan Gustafson,Las Vegas Aces,1
Base Black Holo Press Proof,37,Dana Evans,Las Vegas Aces,1
Base Black Holo Press Proof,38,Chelsea Gray,Las Vegas Aces,1
Base Black Holo Press Proof,39,Arike Ogunbowale,Dallas Wings,1
Base Black Holo Press Proof,40,Kayla Thornton,Golden State Valkyries,1
Base Black Holo Press Proof,41,Brittney Sykes,Washington Mystics,1
Base Black Holo Press Proof,42,Aerial Powers,Atlanta Dream,1
Base Black Holo Press Proof,43,Dearica Hamby,Los Angeles Sparks,1
Base Black Holo Press Proof,44,DeWanna Bonner,Indiana Fever,1
Base Black Holo Press Proof,45,Ezi Magbegor,Seattle Storm,1
Base Black Holo Press Proof,46,Monique Billings,Golden State Valkyries,1
Base Black Holo Press Proof,47,Caitlin Clark,Indiana Fever,1
Base Black Holo Press Proof,48,NaLyssa Smith,Dallas Wings,1
Base Black Holo Press Proof,49,Rickea Jackson,Los Angeles Sparks,1
Base Black Holo Press Proof,50,Karlie Samuelson,Minnesota Lynx,1
Base Black Holo Press Proof,51,Kahleah Copper,Phoenix Mercury,1
Base Black Holo Press Proof,52,Tina Charles,Connecticut Sun,1
Base Black Holo Press Proof,53,Katie Lou Samuelson,Seattle Storm,1
Base Black Holo Press Proof,54,Kate Martin,Golden State Valkyries,1
Base Black Holo Press Proof,55,Satou Sabally,Phoenix Mercury,1
Base Black Holo Press Proof,56,Allisha Gray,Atlanta Dream,1
Base Black Holo Press Proof,57,Teaira McCowan,Dallas Wings,1
Base Black Holo Press Proof,58,Temi Fagbenle,Golden State Valkyries,1
Base Black Holo Press Proof,59,Betnijah Laney-Hamilton,New York Liberty,1
Base Black Holo Press Proof,60,Jackie Young,Las Vegas Aces,1
Base Black Holo Press Proof,61,Alysha Clark,Seattle Storm,1
Base Black Holo Press Proof,62,Brittney Griner,Atlanta Dream,1
Base Black Holo Press Proof,63,Breanna Stewart,New York Liberty,1
Base Black Holo Press Proof,64,Brionna Jones,Atlanta Dream,1
Base Black Holo Press Proof,65,Myisha Hines-Allen,Dallas Wings,1
Base Black Holo Press Proof,66,Elizabeth Kitley,Las Vegas Aces,1
Base Black Holo Press Proof,67,Nyara Sabally,New York Liberty,1
Base Black Holo Press Proof,68,Alanna Smith,Minnesota Lynx,1
Base Black Holo Press Proof,69,Zia Cooke,Seattle Storm,1
Base Black Holo Press Proof,70,Courtney Williams,Minnesota Lynx,1
Base Black Holo Press Proof,71,Angel Reese,Chicago Sky,1
Base Black Holo Press Proof,72,Natisha Hiedeman,Minnesota Lynx,1
Base Black Holo Press Proof,73,Rhyne Howard,Atlanta Dream,1
Base Black Holo Press Proof,74,Ariel Atkins,Chicago Sky,1
Base Black Holo Press Proof,75,Gabby Williams,Seattle Storm,1
Base Black Holo Press Proof,76,Rebecca Allen,Chicago Sky,1
Base Black Holo Press Proof,77,Jonquel Jones,New York Liberty,1
Base Black Holo Press Proof,78,Celeste Taylor,Phoenix Mercury,1
Base Black Holo Press Proof,79,Marine Johannes,New York Liberty,1
Base Black Holo Press Proof,80,Erica Wheeler,Seattle Storm,1
Base Black Holo Press Proof,81,Nika Muhl,Seattle Storm,1
Base Black Holo Press Proof,82,A'ja Wilson,Las Vegas Aces,1
Base Black Holo Press Proof,83,Sabrina Ionescu,New York Liberty,1
Base Black Holo Press Proof,84,Kalani Brown,Phoenix Mercury,1
Base Black Holo Press Proof,85,Lexie Hull,Indiana Fever,1
Base Black Shimmer,1,Aliyah Boston,Indiana Fever,1
Base Black Shimmer,2,Cameron Brink,Los Angeles Sparks,1
Base Black Shimmer,3,Sami Whitcomb,Phoenix Mercury,1
Base Black Shimmer,4,Bridget Carleton,Minnesota Lynx,1
Base Black Shimmer,5,Haley Jones,Atlanta Dream,1
Base Black Shimmer,6,Kia Nurse,Chicago Sky,1
Base Black Shimmer,7,Leonie Fiebich,New York Liberty,1
Base Black Shimmer,8,Natasha Cloud,New York Liberty,1
Base Black Shimmer,9,Sydney Colson,Indiana Fever,1
Base Black Shimmer,10,Alyssa Thomas,Phoenix Mercury,1
Base Black Shimmer,11,Nneka Ogwumike,Seattle Storm,1
Base Black Shimmer,12,Kelsey Plum,Los Angeles Sparks,1
Base Black Shimmer,13,Marina Mabrey,Connecticut Sun,1
Base Black Shimmer,14,Diana Taurasi,Phoenix Mercury,1
Base Black Shimmer,15,Jordan Horston,Seattle Storm,1
Base Black Shimmer,16,Aaliyah Edwards,Washington Mystics,1
Base Black Shimmer,17,Diamond Miller,Minnesota Lynx,1
Base Black Shimmer,18,Jordin Canada,Atlanta Dream,1
Base Black Shimmer,19,Kelsey Mitchell,Indiana Fever,1
Base Black Shimmer,20,Maddy Siegrist,Dallas Wings,1
Base Black Shimmer,21,Veronica Burton,Golden State Valkyries,1
Base Black Shimmer,22,Shakira Austin,Washington Mystics,1
Base Black Shimmer,23,Jewell Loyd,Las Vegas Aces,1
Base Black Shimmer,24,Sophie Cunningham,Indiana Fever,1
Base Black Shimmer,25,Napheesa Collier,Minnesota Lynx,1
Base Black Shimmer,26,Skylar Diggins,Seattle Storm,1
Base Black Shimmer,27,DiJonai Carrington,Dallas Wings,1
Base Black Shimmer,28,Kayla McBride,Minnesota Lynx,1
Base Black Shimmer,29,Julie Vanloo,Golden State Valkyries,1
Base Black Shimmer,30,Stefanie Dolson,Washington Mystics,1
Base Black Shimmer,31,Alissa Pili,Minnesota Lynx,1
Base Black Shimmer,32,Kamilla Cardoso,Chicago Sky,1
Base Black Shimmer,33,Jacy Sheldon,Connecticut Sun,1
Base Black Shimmer,34,Courtney Vandersloot,Chicago Sky,1
Base Black Shimmer,35,Dorka Juhasz,Minnesota Lynx,1
Base Black Shimmer,36,Megan Gustafson,Las Vegas Aces,1
Base Black Shimmer,37,Dana Evans,Las Vegas Aces,1
Base Black Shimmer,38,Chelsea Gray,Las Vegas Aces,1
Base Black Shimmer,39,Arike Ogunbowale,Dallas Wings,1
Base Black Shimmer,40,Kayla Thornton,Golden State Valkyries,1
Base Black Shimmer,41,Brittney Sykes,Washington Mystics,1
Base Black Shimmer,42,Aerial Powers,Atlanta Dream,1
Base Black Shimmer,43,Dearica Hamby,Los Angeles Sparks,1
Base Black Shimmer,44,DeWanna Bonner,Indiana Fever,1
Base Black Shimmer,45,Ezi Magbegor,Seattle Storm,1
Base Black Shimmer,46,Monique Billings,Golden State Valkyries,1
Base Black Shimmer,47,Caitlin Clark,Indiana Fever,1
Base Black Shimmer,48,NaLyssa Smith,Dallas Wings,1
Base Black Shimmer,49,Rickea Jackson,Los Angeles Sparks,1
Base Black Shimmer,50,Karlie Samuelson,Minnesota Lynx,1
Base Black Shimmer,51,Kahleah Copper,Phoenix Mercury,1
Base Black Shimmer,52,Tina Charles,Connecticut Sun,1
Base Black Shimmer,53,Katie Lou Samuelson,Seattle Storm,1
Base Black Shimmer,54,Kate Martin,Golden State Valkyries,1
Base Black Shimmer,55,Satou Sabally,Phoenix Mercury,1
Base Black Shimmer,56,Allisha Gray,Atlanta Dream,1
Base Black Shimmer,57,Teaira McCowan,Dallas Wings,1
Base Black Shimmer,58,Temi Fagbenle,Golden State Valkyries,1
Base Black Shimmer,59,Betnijah Laney-Hamilton,New York Liberty,1
Base Black Shimmer,60,Jackie Young,Las Vegas Aces,1
Base Black Shimmer,61,Alysha Clark,Seattle Storm,1
Base Black Shimmer,62,Brittney Griner,Atlanta Dream,1
Base Black Shimmer,63,Breanna Stewart,New York Liberty,1
Base Black Shimmer,64,Brionna Jones,Atlanta Dream,1
Base Black Shimmer,65,Myisha Hines-Allen,Dallas Wings,1
Base Black Shimmer,66,Elizabeth Kitley,Las Vegas Aces,1
Base Black Shimmer,67,Nyara Sabally,New York Liberty,1
Base Black Shimmer,68,Alanna Smith,Minnesota Lynx,1
Base Black Shimmer,69,Zia Cooke,Seattle Storm,1
Base Black Shimmer,70,Courtney Williams,Minnesota Lynx,1
Base Black Shimmer,71,Angel Reese,Chicago Sky,1
Base Black Shimmer,72,Natisha Hiedeman,Minnesota Lynx,1
Base Black Shimmer,73,Rhyne Howard,Atlanta Dream,1
Base Black Shimmer,74,Ariel Atkins,Chicago Sky,1
Base Black Shimmer,75,Gabby Williams,Seattle Storm,1
Base Black Shimmer,76,Rebecca Allen,Chicago Sky,1
Base Black Shimmer,77,Jonquel Jones,New York Liberty,1
Base Black Shimmer,78,Celeste Taylor,Phoenix Mercury,1
Base Black Shimmer,79,Marine Johannes,New York Liberty,1
Base Black Shimmer,80,Erica Wheeler,Seattle Storm,1
Base Black Shimmer,81,Nika Muhl,Seattle Storm,1
Base Black Shimmer,82,A'ja Wilson,Las Vegas Aces,1
Base Black Shimmer,83,Sabrina Ionescu,New York Liberty,1
Base Black Shimmer,84,Kalani Brown,Phoenix Mercury,1
Base Black Shimmer,85,Lexie Hull,Indiana Fever,1
Base Blue Laser,1,Aliyah Boston,Indiana Fever,49
Base Blue Laser,2,Cameron Brink,Los Angeles Sparks,49
Base Blue Laser,3,Sami Whitcomb,Phoenix Mercury,49
