Card Set,Card Number,Athlete,Team,Sequence
Base,53,Courtney Vandersloot,New York Liberty,
Base,54,Laeticia Amihere,Atlanta Dream,
Base,55,Gabby Williams,Seattle Storm,
Base,56,Ariel Atkins,Washington Mystics,
Base,57,Tiffany Mitchell,Connecticut Sun,
Base,58,Diana Taurasi,Phoenix Mercury,
Base,59,Cheryl Ford,Detroit Shock,
Base,60,Rickea Jackson,Los Angeles Sparks,
Base,61,Erica Wheeler,Indiana Fever,
Base,62,Rae Burrell,Los Angeles Sparks,
Base,63,Diamond Miller,Minnesota Lynx,
Base,64,Kelsey Mitchell,Indiana Fever,
Base,65,Charisma Osborne,Phoenix Mercury,
Base,66,Chennedy Carter,Chicago Sky,
Base,67,Emily Engstler,Washington Mystics,
Base,68,Jade Melbourne,Washington Mystics,
Base,69,Victoria Vivians,Seattle Storm,
Base,70,Aaliyah Edwards,Washington Mystics,
Base,71,Nia Coffey,Atlanta Dream,
Base,72,Dana Evans,Chicago Sky,
Base,73,Sydney Colson,Las Vegas Aces,
Base,74,Sheryl Swoopes,Houston Comets,
Base,75,Nika Muhl,Seattle Storm,
Base,76,Skylar Diggins-Smith,Seattle Storm,
Base,77,Kelsey Plum,Las Vegas Aces,
Base,78,Megan Gustafson,Las Vegas Aces,
Base,79,Courtney Williams,Minnesota Lynx,
Base,80,Brittney Sykes,Washington Mystics,
Base,81,Tiffany Hayes,Las Vegas Aces,
Base,82,Karlie Samuelson,Washington Mystics,
Base,83,Alissa Pili,Minnesota Lynx,
Base,84,Chelsea Gray,Las Vegas Aces,
Base,85,Alana Beard,Los Angeles Sparks,
Base,86,A'ja Wilson,Las Vegas Aces,
Base,87,Nyara Sabally,New York Liberty,
Base,88,Sami Whitcomb,Seattle Storm,
Base,89,Grace Berger,Indiana Fever,
Base,90,Kayla Thornton,New York Liberty,
Base,91,Jordin Canada,Atlanta Dream,
Base,92,Sevgi Uzun,Dallas Wings,
Base,93,Kamilla Cardoso,Chicago Sky,
Base,94,Maddy Siegrist,Dallas Wings,
Base,95,Olivia Epoupa,Minnesota Lynx,
Base,96,Allisha Gray,Atlanta Dream,
Base,97,Aari McDonald,Los Angeles Sparks,
Base,98,Lisa Leslie,Los Angeles Sparks,
Base,99,Breanna Stewart,New York Liberty,
Base,100,Ruth Riley,Detroit Shock,
Base,101,Alysha Clark,Las Vegas Aces,
Base,102,Tyasha Harris,Connecticut Sun,
Base,103,Jordan Horston,Seattle Storm,
Base,104,Ivana Dojkic,New York Liberty,
Base,105,Teaira McCowan,Dallas Wings,
Base,106,Dawn Staley,Charlotte Sting,
Base,107,Lindsay Allen,Chicago Sky,
Base,108,Lauren Jackson,Seattle Storm,
Base,109,Mercedes Russell,Seattle Storm,
Base,110,Lexie Brown,Los Angeles Sparks,
Base,111,Alanna Smith,Minnesota Lynx,
Base,112,Sue Bird,Seattle Storm,
Base,113,Brittney Griner,Phoenix Mercury,
Base,114,Cheyenne Parker-Tyus,Atlanta Dream,
Base,115,Kahleah Copper,Phoenix Mercury,
Base,116,DeWanna Bonner,Connecticut Sun,
Base,117,Sophie Cunningham,Phoenix Mercury,
Base,118,DiJonai Carrington,Connecticut Sun,
Base,119,Katie Douglas,Indiana Fever,
Base,120,Monique Billings,Phoenix Mercury,
Base,121,Lou Lopez Senechal,Dallas Wings,
Base,122,Kiah Stokes,Las Vegas Aces,
Base,123,Dorka Juhasz,Minnesota Lynx,
Base,124,Rebecca Allen,Phoenix Mercury,
Base,125,Cheryl Miller,Phoenix Mercury,
Base,126,Kate Martin,Las Vegas Aces,
Base,127,Cameron Brink,Los Angeles Sparks,
Base,128,Katie Lou Samuelson,Indiana Fever,
Base,129,Kia Nurse,Los Angeles Sparks,
Base,130,Natasha Howard,Dallas Wings,
Base,131,Moriah Jefferson,Chicago Sky,
Base,132,Marina Mabrey,Connecticut Sun,
Base,133,Kristy Wallace,Indiana Fever,
Base,134,Shakira Austin,Washington Mystics,
Base,135,Ticha Penicheiro,Sacramento Monarchs,
Base,136,Temi Fagbenle,Indiana Fever,
Base,137,NaLyssa Smith,Indiana Fever,
Base,138,Bridget Carleton,Minnesota Lynx,
Base,139,Nancy Lieberman,Phoenix Mercury,
Base,140,Elizabeth Kitley,Las Vegas Aces,
Base,141,Jacy Sheldon,Dallas Wings,
Base,142,Aaliyah Edwards,Washington Mystics,
Base,143,Cameron Brink,Los Angeles Sparks,
Base,144,Rickea Jackson,Los Angeles Sparks,
Base,145,Caitlin Clark,Indiana Fever,
Base,146,Nika Muhl,Seattle Storm,
Base,147,Angel Reese,Chicago Sky,
Base,148,Kate Martin,Las Vegas Aces,
Base,149,Kamilla Cardoso,Chicago Sky,
Base,150,Alissa Pili,Minnesota Lynx,
Base Prizms Black Finite,1,Jackie Young,Las Vegas Aces,1/1
Base Prizms Black Finite,2,Haley Jones,Atlanta Dream,1/1
Base Prizms Black Finite,3,Aliyah Boston,Indiana Fever,1/1
Base Prizms Black Finite,4,Jacy Sheldon,Dallas Wings,1/1
Base Prizms Black Finite,5,Betnijah Laney-Hamilton,New York Liberty,1/1
Base Prizms Black Finite,6,Isabelle Harrison,Chicago Sky,1/1
Base Prizms Black Finite,7,Elena Delle Donne,Washington Mystics,1/1
Base Prizms Black Finite,8,Diamond DeShields,Chicago Sky,1/1
Base Prizms Black Finite,9,Joyner Holmes,Seattle Storm,1/1
Base Prizms Black Finite,10,Angel Reese,Chicago Sky,1/1
Base Prizms Black Finite,11,Natasha Cloud,Phoenix Mercury,1/1
Base Prizms Black Finite,12,Kristi Toliver,Washington Mystics,1/1
Base Prizms Black Finite,13,Kayla McBride,Minnesota Lynx,1/1
Base Prizms Black Finite,14,Jonquel Jones,New York Liberty,1/1
Base Prizms Black Finite,15,Ruthie Bolton,Sacramento Monarchs,1/1
Base Prizms Black Finite,16,Lexie Hull,Indiana Fever,1/1
Base Prizms Black Finite,17,Sabrina Ionescu,New York Liberty,1/1
Base Prizms Black Finite,18,Natisha Hiedeman,Minnesota Lynx,1/1
Base Prizms Black Finite,19,Dearica Hamby,Los Angeles Sparks,1/1
Base Prizms Black Finite,20,Myisha Hines-Allen,Minnesota Lynx,1/1
Base Prizms Black Finite,21,Cynthia Cooper-Dyke,Houston Comets,1/1
Base Prizms Black Finite,22,Caitlin Clark,Indiana Fever,1/1
Base Prizms Black Finite,23,Li Yueru,Los Angeles Sparks,1/1
Base Prizms Black Finite,24,Elizabeth Williams,Chicago Sky,1/1
Base Prizms Black Finite,25,Rachel Banham,Chicago Sky,1/1
Base Prizms Black Finite,26,Napheesa Collier,Minnesota Lynx,1/1
Base Prizms Black Finite,27,Brionna Jones,Connecticut Sun,1/1
Base Prizms Black Finite,28,Arike Ogunbowale,Dallas Wings,1/1
Base Prizms Black Finite,29,Kalani Brown,Dallas Wings,1/1
Base Prizms Black Finite,30,Leonie Fiebich,New York Liberty,1/1
Base Prizms Black Finite,31,Jaelyn Brown,Dallas Wings,1/1
Base Prizms Black Finite,32,Cappie Pondexter,New York Liberty,1/1
Base Prizms Black Finite,33,Jaylyn Sherrod,New York Liberty,1/1
Base Prizms Black Finite,34,Stefanie Dolson,Washington Mystics,1/1
Base Prizms Black Finite,35,Veronica Burton,Connecticut Sun,1/1
Base Prizms Black Finite,36,Tina Charles,Atlanta Dream,1/1
Base Prizms Black Finite,37,Aerial Powers,Atlanta Dream,1/1
Base Prizms Black Finite,38,Maya Caldwell,Indiana Fever,1/1
Base Prizms Black Finite,39,Rhyne Howard,Atlanta Dream,1/1
Base Prizms Black Finite,40,Tamika Catchings,Indiana Fever,1/1
Base Prizms Black Finite,41,Marine Johannes,New York Liberty,1/1
Base Prizms Black Finite,42,Julie Vanloo,Washington Mystics,1/1
Base Prizms Black Finite,43,Satou Sabally,Dallas Wings,1/1
Base Prizms Black Finite,44,Alyssa Thomas,Connecticut Sun,1/1
Base Prizms Black Finite,45,Marquesha Davis,New York Liberty,1/1
Base Prizms Black Finite,46,Zia Cooke,Los Angeles Sparks,1/1
Base Prizms Black Finite,47,Stephanie Soares,Dallas Wings,1/1
Base Prizms Black Finite,48,Celeste Taylor,Phoenix Mercury,1/1
Base Prizms Black Finite,49,Jewell Loyd,Seattle Storm,1/1
Base Prizms Black Finite,50,Ezi Magbegor,Seattle Storm,1/1
Base Prizms Black Finite,51,Sug Sutton,Washington Mystics,1/1
Base Prizms Black Finite,52,Nneka Ogwumike,Seattle Storm,1/1
Base Prizms Black Finite,53,Courtney Vandersloot,New York Liberty,1/1
Base Prizms Black Finite,54,Laeticia Amihere,Atlanta Dream,1/1
Base Prizms Black Finite,55,Gabby Williams,Seattle Storm,1/1
Base Prizms Black Finite,56,Ariel Atkins,Washington Mystics,1/1
Base Prizms Black Finite,57,Tiffany Mitchell,Connecticut Sun,1/1
Base Prizms Black Finite,58,Diana Taurasi,Phoenix Mercury,1/1
Base Prizms Black Finite,59,Cheryl Ford,Detroit Shock,1/1
Base Prizms Black Finite,60,Rickea Jackson,Los Angeles Sparks,1/1
Base Prizms Black Finite,61,Erica Wheeler,Indiana Fever,1/1
Base Prizms Black Finite,62,Rae Burrell,Los Angeles Sparks,1/1
Base Prizms Black Finite,63,Diamond Miller,Minnesota Lynx,1/1
Base Prizms Black Finite,64,Kelsey Mitchell,Indiana Fever,1/1
Base Prizms Black Finite,65,Charisma Osborne,Phoenix Mercury,1/1
Base Prizms Black Finite,66,Chennedy Carter,Chicago Sky,1/1
Base Prizms Black Finite,67,Emily Engstler,Washington Mystics,1/1
Base Prizms Black Finite,68,Jade Melbourne,Washington Mystics,1/1
Base Prizms Black Finite,69,Victoria Vivians,Seattle Storm,1/1
Base Prizms Black Finite,70,Aaliyah Edwards,Washington Mystics,1/1
Base Prizms Black Finite,71,Nia Coffey,Atlanta Dream,1/1
Base Prizms Black Finite,72,Dana Evans,Chicago Sky,1/1
Base Prizms Black Finite,73,Sydney Colson,Las Vegas Aces,1/1
Base Prizms Black Finite,74,Sheryl Swoopes,Houston Comets,1/1
Base Prizms Black Finite,75,Nika Muhl,Seattle Storm,1/1
Base Prizms Black Finite,76,Skylar Diggins-Smith,Seattle Storm,1/1
Base Prizms Black Finite,77,Kelsey Plum,Las Vegas Aces,1/1
Base Prizms Black Finite,78,Megan Gustafson,Las Vegas Aces,1/1
Base Prizms Black Finite,79,Courtney Williams,Minnesota Lynx,1/1
Base Prizms Black Finite,80,Brittney Sykes,Washington Mystics,1/1
Base Prizms Black Finite,81,Tiffany Hayes,Las Vegas Aces,1/1
Base Prizms Black Finite,82,Karlie Samuelson,Washington Mystics,1/1
Base Prizms Black Finite,83,Alissa Pili,Minnesota Lynx,1/1
Base Prizms Black Finite,84,Chelsea Gray,Las Vegas Aces,1/1
Base Prizms Black Finite,85,Alana Beard,Los Angeles Sparks,1/1
Base Prizms Black Finite,86,A'ja Wilson,Las Vegas Aces,1/1
Base Prizms Black Finite,87,Nyara Sabally,New York Liberty,1/1
Base Prizms Black Finite,88,Sami Whitcomb,Seattle Storm,1/1
Base Prizms Black Finite,89,Grace Berger,Indiana Fever,1/1
Base Prizms Black Finite,90,Kayla Thornton,New York Liberty,1/1
Base Prizms Black Finite,91,Jordin Canada,Atlanta Dream,1/1
Base Prizms Black Finite,92,Sevgi Uzun,Dallas Wings,1/1
Base Prizms Black Finite,93,Kamilla Cardoso,Chicago Sky,1/1
Base Prizms Black Finite,94,Maddy Siegrist,Dallas Wings,1/1
Base Prizms Black Finite,95,Olivia Epoupa,Minnesota Lynx,1/1
Base Prizms Black Finite,96,Allisha Gray,Atlanta Dream,1/1
Base Prizms Black Finite,97,Aari McDonald,Los Angeles Sparks,1/1
Base Prizms Black Finite,98,Lisa Leslie,Los Angeles Sparks,1/1
Base Prizms Black Finite,99,Breanna Stewart,New York Liberty,1/1
Base Prizms Black Finite,100,Ruth Riley,Detroit Shock,1/1
Base Prizms Black Finite,101,Alysha Clark,Las Vegas Aces,1/1
Base Prizms Black Finite,102,Tyasha Harris,Connecticut Sun,1/1
Base Prizms Black Finite,103,Jordan Horston,Seattle Storm,1/1
Base Prizms Black Finite,104,Ivana Dojkic,New York Liberty,1/1
Base Prizms Black Finite,105,Teaira McCowan,Dallas Wings,1/1
Base Prizms Black Finite,106,Dawn Staley,Charlotte Sting,1/1
Base Prizms Black Finite,107,Lindsay Allen,Chicago Sky,1/1
Base Prizms Black Finite,108,Lauren Jackson,Seattle Storm,1/1
Base Prizms Black Finite,109,Mercedes Russell,Seattle Storm,1/1
Base Prizms Black Finite,110,Lexie Brown,Los Angeles Sparks,1/1
Base Prizms Black Finite,111,Alanna Smith,Minnesota Lynx,1/1
Base Prizms Black Finite,112,Sue Bird,Seattle Storm,1/1
Base Prizms Black Finite,113,Brittney Griner,Phoenix Mercury,1/1
Base Prizms Black Finite,114,Cheyenne Parker-Tyus,Atlanta Dream,1/1
Base Prizms Black Finite,115,Kahleah Copper,Phoenix Mercury,1/1
Base Prizms Black Finite,116,DeWanna Bonner,Connecticut Sun,1/1
Base Prizms Black Finite,117,Sophie Cunningham,Phoenix Mercury,1/1
Base Prizms Black Finite,118,DiJonai Carrington,Connecticut Sun,1/1
Base Prizms Black Finite,119,Katie Douglas,Indiana Fever,1/1
Base Prizms Black Finite,120,Monique Billings,Phoenix Mercury,1/1
Base Prizms Black Finite,121,Lou Lopez Senechal,Dallas Wings,1/1
Base Prizms Black Finite,122,Kiah Stokes,Las Vegas Aces,1/1
Base Prizms Black Finite,123,Dorka Juhasz,Minnesota Lynx,1/1
Base Prizms Black Finite,124,Rebecca Allen,Phoenix Mercury,1/1
Base Prizms Black Finite,125,Cheryl Miller,Phoenix Mercury,1/1
Base Prizms Black Finite,126,Kate Martin,Las Vegas Aces,1/1
Base Prizms Black Finite,127,Cameron Brink,Los Angeles Sparks,1/1
Base Prizms Black Finite,128,Katie Lou Samuelson,Indiana Fever,1/1
Base Prizms Black Finite,129,Kia Nurse,Los Angeles Sparks,1/1
Base Prizms Black Finite,130,Natasha Howard,Dallas Wings,1/1
Base Prizms Black Finite,131,Moriah Jefferson,Chicago Sky,1/1
Base Prizms Black Finite,132,Marina Mabrey,Connecticut Sun,1/1
Base Prizms Black Finite,133,Kristy Wallace,Indiana Fever,1/1
Base Prizms Black Finite,134,Shakira Austin,Washington Mystics,1/1
Base Prizms Black Finite,135,Ticha Penicheiro,Sacramento Monarchs,1/1
Base Prizms Black Finite,136,Temi Fagbenle,Indiana Fever,1/1
Base Prizms Black Finite,137,NaLyssa Smith,Indiana Fever,1/1
Base Prizms Black Finite,138,Bridget Carleton,Minnesota Lynx,1/1
Base Prizms Black Finite,139,Nancy Lieberman,Phoenix Mercury,1/1
Base Prizms Black Finite,140,Elizabeth Kitley,Las Vegas Aces,1/1
Base Prizms Black Finite,141,Jacy Sheldon,Dallas Wings,1/1
Base Prizms Black Finite,142,Aaliyah Edwards,Washington Mystics,1/1
Base Prizms Black Finite,143,Cameron Brink,Los Angeles Sparks,1/1
Base Prizms Black Finite,144,Rickea Jackson,Los Angeles Sparks,1/1
Base Prizms Black Finite,145,Caitlin Clark,Indiana Fever,1/1
Base Prizms Black Finite,146,Nika Muhl,Seattle Storm,1/1
Base Prizms Black Finite,147,Angel Reese,Chicago Sky,1/1
Base Prizms Black Finite,148,Kate Martin,Las Vegas Aces,1/1
Base Prizms Black Finite,149,Kamilla Cardoso,Chicago Sky,1/1
Base Prizms Black Finite,150,Alissa Pili,Minnesota Lynx,1/1
Base Prizms Black Gold,1,Jackie Young,Las Vegas Aces,/5
Base Prizms Black Gold,2,Haley Jones,Atlanta Dream,/5
Base Prizms Black Gold,3,Aliyah Boston,Indiana Fever,/5
Base Prizms Black Gold,4,Jacy Sheldon,Dallas Wings,/5
Base Prizms Black Gold,5,Betnijah Laney-Hamilton,New York Liberty,/5
Base Prizms Black Gold,6,Isabelle Harrison,Chicago Sky,/5
Base Prizms Black Gold,7,Elena Delle Donne,Washington Mystics,/5
Base Prizms Black Gold,8,Diamond DeShields,Chicago Sky,/5
Base Prizms Black Gold,9,Joyner Holmes,Seattle Storm,/5
Base Prizms Black Gold,10,Angel Reese,Chicago Sky,/5
Base Prizms Black Gold,11,Natasha Cloud,Phoenix Mercury,/5
Base Prizms Black Gold,12,Kristi Toliver,Washington Mystics,/5
Base Prizms Black Gold,13,Kayla McBride,Minnesota Lynx,/5
Base Prizms Black Gold,14,Jonquel Jones,New York Liberty,/5
Base Prizms Black Gold,15,Ruthie Bolton,Sacramento Monarchs,/5
Base Prizms Black Gold,16,Lexie Hull,Indiana Fever,/5
Base Prizms Black Gold,17,Sabrina Ionescu,New York Liberty,/5
Base Prizms Black Gold,18,Natisha Hiedeman,Minnesota Lynx,/5
Base Prizms Black Gold,19,Dearica Hamby,Los Angeles Sparks,/5
Base Prizms Black Gold,20,Myisha Hines-Allen,Minnesota Lynx,/5
Base Prizms Black Gold,21,Cynthia Cooper-Dyke,Houston Comets,/5
Base Prizms Black Gold,22,Caitlin Clark,Indiana Fever,/5
Base Prizms Black Gold,23,Li Yueru,Los Angeles Sparks,/5
Base Prizms Black Gold,24,Elizabeth Williams,Chicago Sky,/5
Base Prizms Black Gold,25,Rachel Banham,Chicago Sky,/5
Base Prizms Black Gold,26,Napheesa Collier,Minnesota Lynx,/5
Base Prizms Black Gold,27,Brionna Jones,Connecticut Sun,/5
Base Prizms Black Gold,28,Arike Ogunbowale,Dallas Wings,/5
Base Prizms Black Gold,29,Kalani Brown,Dallas Wings,/5
Base Prizms Black Gold,30,Leonie Fiebich,New York Liberty,/5
Base Prizms Black Gold,31,Jaelyn Brown,Dallas Wings,/5
Base Prizms Black Gold,32,Cappie Pondexter,New York Liberty,/5
Base Prizms Black Gold,33,Jaylyn Sherrod,New York Liberty,/5
Base Prizms Black Gold,34,Stefanie Dolson,Washington Mystics,/5
Base Prizms Black Gold,35,Veronica Burton,Connecticut Sun,/5
Base Prizms Black Gold,36,Tina Charles,Atlanta Dream,/5
Base Prizms Black Gold,37,Aerial Powers,Atlanta Dream,/5
Base Prizms Black Gold,38,Maya Caldwell,Indiana Fever,/5
Base Prizms Black Gold,39,Rhyne Howard,Atlanta Dream,/5
Base Prizms Black Gold,40,Tamika Catchings,Indiana Fever,/5
Base Prizms Black Gold,41,Marine Johannes,New York Liberty,/5
Base Prizms Black Gold,42,Julie Vanloo,Washington Mystics,/5
Base Prizms Black Gold,43,Satou Sabally,Dallas Wings,/5
Base Prizms Black Gold,44,Alyssa Thomas,Connecticut Sun,/5
Base Prizms Black Gold,45,Marquesha Davis,New York Liberty,/5
Base Prizms Black Gold,46,Zia Cooke,Los Angeles Sparks,/5
Base Prizms Black Gold,47,Stephanie Soares,Dallas Wings,/5
Base Prizms Black Gold,48,Celeste Taylor,Phoenix Mercury,/5
Base Prizms Black Gold,49,Jewell Loyd,Seattle Storm,/5
Base Prizms Black Gold,50,Ezi Magbegor,Seattle Storm,/5
Base Prizms Black Gold,51,Sug Sutton,Washington Mystics,/5
Base Prizms Black Gold,52,Nneka Ogwumike,Seattle Storm,/5
Base Prizms Black Gold,53,Courtney Vandersloot,New York Liberty,/5
Base Prizms Black Gold,54,Laeticia Amihere,Atlanta Dream,/5
Base Prizms Black Gold,55,Gabby Williams,Seattle Storm,/5
Base Prizms Black Gold,56,Ariel Atkins,Washington Mystics,/5
Base Prizms Black Gold,57,Tiffany Mitchell,Connecticut Sun,/5
Base Prizms Black Gold,58,Diana Taurasi,Phoenix Mercury,/5
Base Prizms Black Gold,59,Cheryl Ford,Detroit Shock,/5
Base Prizms Black Gold,60,Rickea Jackson,Los Angeles Sparks,/5
Base Prizms Black Gold,61,Erica Wheeler,Indiana Fever,/5
Base Prizms Black Gold,62,Rae Burrell,Los Angeles Sparks,/5
Base Prizms Black Gold,63,Diamond Miller,Minnesota Lynx,/5
Base Prizms Black Gold,64,Kelsey Mitchell,Indiana Fever,/5
Base Prizms Black Gold,65,Charisma Osborne,Phoenix Mercury,/5
Base Prizms Black Gold,66,Chennedy Carter,Chicago Sky,/5
Base Prizms Black Gold,67,Emily Engstler,Washington Mystics,/5
Base Prizms Black Gold,68,Jade Melbourne,Washington Mystics,/5
Base Prizms Black Gold,69,Victoria Vivians,Seattle Storm,/5
Base Prizms Black Gold,70,Aaliyah Edwards,Washington Mystics,/5
Base Prizms Black Gold,71,Nia Coffey,Atlanta Dream,/5
Base Prizms Black Gold,72,Dana Evans,Chicago Sky,/5
Base Prizms Black Gold,73,Sydney Colson,Las Vegas Aces,/5
Base Prizms Black Gold,74,Sheryl Swoopes,Houston Comets,/5
Base Prizms Black Gold,75,Nika Muhl,Seattle Storm,/5
Base Prizms Black Gold,76,Skylar Diggins-Smith,Seattle Storm,/5
Base Prizms Black Gold,77,Kelsey Plum,Las Vegas Aces,/5
Base Prizms Black Gold,78,Megan Gustafson,Las Vegas Aces,/5
Base Prizms Black Gold,79,Courtney Williams,Minnesota Lynx,/5
Base Prizms Black Gold,80,Brittney Sykes,Washington Mystics,/5
Base Prizms Black Gold,81,Tiffany Hayes,Las Vegas Aces,/5
Base Prizms Black Gold,82,Karlie Samuelson,Washington Mystics,/5
Base Prizms Black Gold,83,Alissa Pili,Minnesota Lynx,/5
Base Prizms Black Gold,84,Chelsea Gray,Las Vegas Aces,/5
Base Prizms Black Gold,85,Alana Beard,Los Angeles Sparks,/5
Base Prizms Black Gold,86,A'ja Wilson,Las Vegas Aces,/5
Base Prizms Black Gold,87,Nyara Sabally,New York Liberty,/5
Base Prizms Black Gold,88,Sami Whitcomb,Seattle Storm,/5
Base Prizms Black Gold,89,Grace Berger,Indiana Fever,/5
Base Prizms Black Gold,90,Kayla Thornton,New York Liberty,/5
Base Prizms Black Gold,91,Jordin Canada,Atlanta Dream,/5
Base Prizms Black Gold,92,Sevgi Uzun,Dallas Wings,/5
Base Prizms Black Gold,93,Kamilla Cardoso,Chicago Sky,/5
Base Prizms Black Gold,94,Maddy Siegrist,Dallas Wings,/5
Base Prizms Black Gold,95,Olivia Epoupa,Minnesota Lynx,/5
Base Prizms Black Gold,96,Allisha Gray,Atlanta Dream,/5
Base Prizms Black Gold,97,Aari McDonald,Los Angeles Sparks,/5
Base Prizms Black Gold,98,Lisa Leslie,Los Angeles Sparks,/5
Base Prizms Black Gold,99,Breanna Stewart,New York Liberty,/5
Base Prizms Black Gold,100,Ruth Riley,Detroit Shock,/5
Base Prizms Black Gold,101,Alysha Clark,Las Vegas Aces,/5
Base Prizms Black Gold,102,Tyasha Harris,Connecticut Sun,/5
Base Prizms Black Gold,103,Jordan Horston,Seattle Storm,/5
Base Prizms Black Gold,104,Ivana Dojkic,New York Liberty,/5
Base Prizms Black Gold,105,Teaira McCowan,Dallas Wings,/5
Base Prizms Black Gold,106,Dawn Staley,Charlotte Sting,/5
Base Prizms Black Gold,107,Lindsay Allen,Chicago Sky,/5
Base Prizms Black Gold,108,Lauren Jackson,Seattle Storm,/5
Base Prizms Black Gold,109,Mercedes Russell,Seattle Storm,/5
Base Prizms Black Gold,110,Lexie Brown,Los Angeles Sparks,/5
Base Prizms Black Gold,111,Alanna Smith,Minnesota Lynx,/5
Base Prizms Black Gold,112,Sue Bird,Seattle Storm,/5
Base Prizms Black Gold,113,Brittney Griner,Phoenix Mercury,/5
Base Prizms Black Gold,114,Cheyenne Parker-Tyus,Atlanta Dream,/5
Base Prizms Black Gold,115,Kahleah Copper,Phoenix Mercury,/5
Base Prizms Black Gold,116,DeWanna Bonner,Connecticut Sun,/5
Base Prizms Black Gold,117,Sophie Cunningham,Phoenix Mercury,/5
Base Prizms Black Gold,118,DiJonai Carrington,Connecticut Sun,/5
Base Prizms Black Gold,119,Katie Douglas,Indiana Fever,/5
Base Prizms Black Gold,120,Monique Billings,Phoenix Mercury,/5
Base Prizms Black Gold,121,Lou Lopez Senechal,Dallas Wings,/5
Base Prizms Black Gold,122,Kiah Stokes,Las Vegas Aces,/5
Base Prizms Black Gold,123,Dorka Juhasz,Minnesota Lynx,/5
Base Prizms Black Gold,124,Rebecca Allen,Phoenix Mercury,/5
Base Prizms Black Gold,125,Cheryl Miller,Phoenix Mercury,/5
Base Prizms Black Gold,126,Kate Martin,Las Vegas Aces,/5
Base Prizms Black Gold,127,Cameron Brink,Los Angeles Sparks,/5
Base Prizms Black Gold,128,Katie Lou Samuelson,Indiana Fever,/5
Base Prizms Black Gold,129,Kia Nurse,Los Angeles Sparks,/5
Base Prizms Black Gold,130,Natasha Howard,Dallas Wings,/5
Base Prizms Black Gold,131,Moriah Jefferson,Chicago Sky,/5
Base Prizms Black Gold,132,Marina Mabrey,Connecticut Sun,/5
Base Prizms Black Gold,133,Kristy Wallace,Indiana Fever,/5
Base Prizms Black Gold,134,Shakira Austin,Washington Mystics,/5
Base Prizms Black Gold,135,Ticha Penicheiro,Sacramento Monarchs,/5
Base Prizms Black Gold,136,Temi Fagbenle,Indiana Fever,/5
Base Prizms Black Gold,137,NaLyssa Smith,Indiana Fever,/5
Base Prizms Black Gold,138,Bridget Carleton,Minnesota Lynx,/5
Base Prizms Black Gold,139,Nancy Lieberman,Phoenix Mercury,/5
Base Prizms Black Gold,140,Erica Wheeler,Indiana Fever,/5
Base Prizms Black Gold,141,Jacy Sheldon,Dallas Wings,/5
Base Prizms Black Gold,142,Aaliyah Edwards,Washington Mystics,/5
